;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
benefactor_ai;Мудрый правитель;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_benefactor_ai;Правитель этой страны мудр и не воинственен. ;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
malevolent_ai;Злобный правитель;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_malevolent_ai;Правитель этой страны злой и воинственный.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
picking_personality;Личность правителя.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_picking_personality;Личность правителя этой страны была выбрана.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
government_busy_with_something;Деятельное правительство;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre2;Утечка доказательств резни;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre2_desc;Ужасные доказательства убийств, происходящих в нашей стране, сильно сказались на нашей репутации.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre;Утечка доказательств резни;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre_desc;Ужасные доказательства убийств, происходящих в нашей стране, сильно сказались на нашей репутации.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
local_tractors;Тракторы и траулеры;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_local_tractors;Технологии механизированное сельского хозяйства и рыболовства дошли до этой провинции в виде тракторов и рыболовных траулеров, что повышает эффективность и снижает трудоемкость местного сельского хозяйства.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
interment_camps;Директива №1;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
interment_camps_desc;Директива № 1 - это название ряда мер, которые наша страна в настоящее время предпринимает для подавления внутренних разногласий.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
war_propaganda;Военная пропаганда;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
war_propaganda_desc;Наша страна в настоящее время проводит широкомасштабную пропагандистскую кампанию, подталкивая людей к поддержке нашей военной политики.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
government_propaganda;Правительственная пропаганда;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
government_propaganda_desc;В настоящее время в нашей стране проводится масштабная пропагандистская кампания, подталкивающая людей к поддержке нашей государственной политики.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
war_focus;Война в центре внимания;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
war_focus_desc;Эта война ради одной цели и только одной.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
loyal_vassal;Верный вассал;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
loyal_vassal_desc;Мы будем поддерживать наших защитников.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
substate_nation_player;Подневольное государство;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
in_disrepair;Ветхость;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
in_disrepair_desc;Зданиями в этой провинции пренебрегали так долго, что они разваливаются.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
nationalization_in_progress;Национализация;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
nationalization_in_progress_desc;Наше правительство в настоящее время предпринимает усилия по национализации. Иностранцы больше не будут господствовать в нашей суверенной индустрии.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
factories_nationalized;Национализированные фабрики;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
factories_nationalized_desc;Наши заводы в другой стране были национализированы. Это удар по престижу нашей страны.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
santa_ana_rule;Антонио Лопес де Санта-Анна;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
santa_ana_rule_desc;Антонио де Падуя Марна Северино Лепес де Санта Анна и Перез де Лебрин - также известный как Санта Анна - является нынешним правителем Мексики. Будучи героем войны за независимость, его изменчивые политические взгляды и действия сделали его загадочной фигурой.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
forceful_back_to_africa;Закон о возвращении в Африку;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
forceful_back_to_africa_desc;Без оков демократических правил правительство объявило приказ о насильственной репатриации всех культур африканской диаспоры в нашей стране.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
ostflucht;Остфлюхт;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
ostflucht_desc;Бедность толкает людей на Запад.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
considering_colonial_offer;Рассмотрение колониального предложения;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
considering_colonial_offer_desc;В настоящее время мы обсуждаем возможность создания колонии в недавно разваленной стране.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
dismantling_country;Развал страны;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
dismantling_country_desc;Наши дипломатические усилия в настоящее время сосредоточены на ликвидации другой страны.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
being_dismantled;В процессе развала;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
being_dismantled_desc;Наша страна проиграла, а наши земли делят между собой победители.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
claiming_neuchatel;Претензии на Нёвшатель;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
the_long_war;Долгая Война;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
the_long_war_desc;Одна из наших войн тянулась долго - слишком долго. Международное сообщество начало рассматривать нашу атаку как истребление наших врагов.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
research_lagging_behind;Усилия по модернизации;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
research_lagging_behind_desc;Наша страна направляет все свои ресурсы на проведение необходимых технологических реформ.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_1;Высокая инфляция;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_1_desc;Инфляция отражает снижение покупательной способности на единицу денег - потерю реальной стоимости в среде обмена и расчетной единицы в экономике. Длительный период инфляции вызван тем, что денежная масса растет быстрее, чем темпы роста экономики. ;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_2;Высокая инфляция;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_2_desc;Инфляция отражает снижение покупательной способности на единицу денег - потерю реальной стоимости в среде обмена и расчетной единицы в экономике. Длительный период инфляции вызван тем, что денежная масса растет быстрее, чем темпы роста экономики. ;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_3;Гиперинфляция;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
high_inflation_3_desc;Гиперинфляция очень высока и, как правило, ускоряет инфляцию. Это быстро размывает реальную стоимость местной валюты, так как цены на все товары растут. Это заставляет людей минимизировать свои авуары в этой валюте, поскольку они обычно переключаются на более стабильные иностранные валюты. Гиперинфляция часто связана с некоторой нагрузкой на государственный бюджет, такой как войны или их последствия, социально-политические потрясения, обвал экспортных цен или другие кризисы, которые мешают правительству собирать налоговые поступления.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
homeland_productive_year;Плодородный год;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
homeland_productive_year_desc;Этот год был особенно хорош для нашей страны.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
severe_homeland_drought;Сильная засуха;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
severe_homeland_drought_desc;Сильная засуха поражает эту провинцию.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
homeland_drought;Засуха;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
homeland_drought_desc;Эта провинция в настоящее время находится под засухой.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
disable_conquest_cb;Повод для войны Завоевание отключен;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
disable_conquest_cb_desc;Поскольку в настоящее время мы привержены идеологии освобождения стран от тирании, было бы немыслимо, если бы мы предприняли попытку положить конец независимости другой страны.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
colony_to_state_conversion;Преобразование колонии в государство;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
colony_to_state_conversion_desc;Необходимость преобразования нецивилизованной колонии в провинцию.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
colony_to_be_annexed;Колониальные переговоры;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
colony_to_be_annexed_desc;Наш бывший повелитель проиграл войну, и теперь мы, как и их бывшая колония, за столом переговоров.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
permanent_occupation;Оккупация побежденной страны;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
permanent_occupation_desc;Наша длительная оккупация страны, которая уже была побеждена, вызывает международную критику.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
regency_government;Регентство;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
regency_government_desc;Болезнь, зарубежные поездки, преждевременная смерть или отречение - ряд причин может вызвать регентство. В любом случае, регенты не очень хороши в своей работе, а наша страна находится на грани хаоса.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
reactionary_demands;Реакционная повестка дня;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
reactionary_demands;Реакционеры, пробившиеся к власти, осуществляют антизападную повестку дня.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
integrating_colony;Интеграция колонии;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
integrating_colony_desc;Мы работаем над полной интеграцией большой колонии в нашу империю. Это потребует всех наших усилий, которые могут быть направлены на колонизацию.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
non_interventionism_trade_policy;Экономическое невмешательство;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
non_interventionism_trade_policy_desc;Сторонники экономического невмешательства считают, что тарифы не должны использоваться для субсидирования или защиты национальной торговли.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
claimed_africa;Претензия на колонию;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
claimed_africa_desc;Мы выдвинули претензию на колонию и должны подождать, прежде чем претендовать на новые колонии по тем же правилам.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
quality_coal;Высококачественный уголь;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
quality_coal_desc;Уголь в этой провинции имеет высокое качество, истощается медленнее и производит больше тепла.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
smithian_school;Теория Адама Смита;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
smithian_school_desc;Философии невмешательства, такие как минимизация роли государственного вмешательства и налогообложения на свободных рынках, а также идея о том, что «невидимая рука» управляет спросом и предложением, являются одними из ключевых идей, за которые нам нужно благодарить Адама Смита. Наша торговая политика во многом вдохновлена им.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
french_liberal_school;Ортодоксальная либеральная школа;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
french_liberal_school_desc;Ортодоксальная школа экономической мысли, также известная как Французская либеральная школа или Оптимистическая школа, жадно защищает свободную торговлю и принцип невмешательства. Они являются основными противниками коллективистских, интервенционистских и протекционистских идей. Наша торговая политика в значительной степени вдохновлена этой школой.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;x,,,,,
no_trade_policy_set;Нет выбранной торговой политики;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
no_trade_policy_set_desc;Наше правительство не имеет установленной торговой политики и предпочитает принимать поспешные решения по тарифам.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
russian_protectionism;Сильный протекционизм;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
russian_protectionism_desc;Цель этой политики состоит в том, чтобы иметь экономически независимую страну, которая полагается на высокие импортные тарифы для покрытия большинства расходов.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mercantilism;Меркантилизм;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mercantilism_desc;Меркантилизм - это политика, направленная на максимизацию торговли страны и особенно на максимальное накопление золота и серебра. Она способствует государственному регулированию экономики страны с целью увеличения государственной власти за счет конкурирующих национальных сил.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
economic_nationalism;Экономический национализм;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
economic_nationalism_desc;Цель этой политики - создать экономически независимую и самодостаточную страну. Она сосредоточена на внутреннем контроле над экономикой, трудом и накоплением капитала, даже если это требует жесткого наложения тарифов и других ограничений на движение рабочей силы, товаров и капитала.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
polish_uprising_mobilization;Польское восстание;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
polish_uprising_mobilization_desc;Мы мобилизуем наш народ, чтобы Польша снова стала свободной.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
credit_risk;Высокий кредитный риск;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
credit_risk_desc;Из-за восстаний, войн или общей нестабильности, другие страны не спешат одалживать нам деньги.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sound_dues;Зундская пошлина;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sound_dues_toll;Зундская пошлина;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
unrecognized_country;Непризнанная страна;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
unrecognized_country_desc;Наше право на независимость не признает ни одна страна в связи с тем, что мы лишь недавно объявили себя независимыми.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
monthly_payment_made;Ежемесячный платеж;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
monthly_payment_made_desc;Мы уже внесли свой вклад в казну нашего повелителя в этом месяце.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_ships;Импортированные корабли;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_shipyards;Западные Верфи;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_weapons;Иностранное оружие;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
using_foreign_artillery;Иностранная артиллерия;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sicilian_mafia;Сицилийская мафия;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
desc_sicilian_mafia;Сицилийская мафия, также известная как просто Мафия или Коза Ностра, это преступный синдикат родот из Сициии, действующий в южно-итальянских провинциях. Они получают прибыль в основном за счет рэкета, что негативно сказывается на прибыли производителей и их способности нанимать новых работников, но они также сосредоточены на политической коррупции и других криминальных сферах. Их жестокие методы пугают местных жителей.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_steamers;Подержанные пароходы;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_artillery;Подержанная артиллерия;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
owed_canned_food;Подержанные консервы;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
total_reform; $COUNTRY_ADJ$ Чудо;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
total_reform_desc;Наша страна переживает обширные реформы всех сфер жизнедеятельности. Это не что иное, как настоящее чудо.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
slave_revolution;Рабская Революция;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
relutanct_figher;Неохотный боец;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
relutanct_figher_desc;У этой нации, похоже, нет собственных амбиций, и она не хочет бороться за другую страну.;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
silver_mine;Серебряный рудник;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
krakow_is_austrian;Австрийский Краков;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
great_irish_famine;Великий голод в Ирландии;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
preparations_to_kill;Лагеря смерти;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sunni_country;Сунниты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
shiite_country;Шииты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
ibadi_country;Ибадиты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
catholic_country;Католики;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
protestant_country;Протестанты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mormon_country;Мормоны;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
orthodox_country;Православные;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
coptic_country;Копты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
jewish_country;Иудеи;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
yazidi_country;Езиды;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
mahayana_country;Махаяна;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
gelugpa_country;Гелугпа;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
theravada_country;Тхеравада;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
hindu_country;Индуисты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
shinto_country;Синтоисты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
sikh_country;Сионисты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
animist_country;Анимисты;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;
native_assimilation_act_policy;Закон о ассимиляции туземцев;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_assimilation_act_policy_desc;Правительство работает над ассимиляцией коренного населения.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
native_removal_act_policy;Закон об устранении туземцев;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_removal_act_policy_desc;Дискриминационная политика направлена на ликвидацию и вытеснение коренного населения.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
african_integration_policy;Политика африканской интеграции;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
native_assimilation_enacted;Политика ассимиляции туземцев;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
new_world_nation;Нация Нового Света;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
low_healthcare_poorly_funded;Плохо финансируемая медицина;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_low_healthcare_poorly_funded;Слабые инвестиции в администрацию приводят к плохо финансируемой системе здравоохранения.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
good_healthcare_poorly_funded;Плохо финансируемая медицина;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
desc_good_healthcare_poorly_funded;Слабые инвестиции в администрацию приводят к плохо финансируемой системе здравоохранения.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
capital_health_care;Столичная медицина;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;
